episode,tag,env_module,env_class,model,success,crashed,timed_out,reward,goal_distance,final_phase,steps,completion_time_s,min_ttc,commit_step,commit_time_s,wait_time_before_commit_s,max_speed_kmh,mean_speed_kmh,max_accel_mps2,min_accel_mps2,mean_abs_accel_mps2,max_abs_jerk_mps3,p90_abs_jerk_mps3,mean_abs_jerk_mps3
25,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,False,True,False,-232.74228937965307,17.391557693481445,CLEAR,350,17.5,nan,86,4.3500000000000005,4.3500000000000005,24.858495053308026,4.556608254053762,6.35516227320471,-26.338699104279705,3.091293483368826,619.105712404702,212.34824342716604,61.26457983526187
26,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,True,False,False,-206.92710203405557,4.747901439666748,DECISION,338,16.900000000000002,nan,64,3.25,3.25,31.14224980228176,7.5579707815297565,17.66357878163613,-26.97711437183753,3.2155496890940642,487.34962060144204,133.99446639074648,57.60779628268469
27,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,True,False,False,-215.76081614958068,4.677760124206543,DECISION,359,17.95,nan,73,3.7,3.7,27.32078139817347,7.12901330044339,16.36256305211618,-26.796930019549084,3.186009985794731,578.8289309119851,93.67389427876785,48.46721999606422
28,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,True,False,False,-212.54057233905576,4.855514049530029,DECISION,409,20.450000000000003,nan,153,7.7,7.7,29.097177798209557,6.237097753783986,16.068291358819813,-26.360146765951036,3.1546973792749817,543.0076456830536,197.07860123573025,57.73927112905757
29,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,True,False,False,-236.75683832240225,4.624172687530518,DECISION,403,20.150000000000002,nan,67,3.4000000000000004,3.4000000000000004,29.505994498928505,6.385920620686607,15.746545860059635,-26.942210585482265,3.404339178368692,586.9166483188907,192.01715101796057,55.307871541010265
30,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,True,False,False,-229.65332654940454,4.653012275695801,DECISION,397,19.85,nan,11,0.6000000000000001,0.6000000000000001,30.82718626468894,6.468203811142768,14.019562087348175,-25.764265976829755,3.6804441282803286,557.7641340595367,224.5955163009359,61.14512891935967
31,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,True,False,False,-220.5691003834626,4.986598014831543,DECISION,375,18.75,nan,69,3.5,3.5,30.842790575455833,6.788008640614221,18.978250048744172,-23.472206558079698,2.562880668895948,537.7545199281329,103.54127042960182,44.39987125893358
32,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,False,True,False,-254.17623491903288,17.0347900390625,CLEAR,384,19.200000000000003,nan,73,3.7,3.7,20.746037465154597,4.196874832637831,15.21479360520399,-93.31202803737249,3.1551106763715113,1875.4574436414816,164.2483125602569,53.59364515428844
33,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,True,False,False,-240.12097556912602,4.771379470825195,DECISION,430,21.5,nan,77,3.9000000000000004,3.9000000000000004,28.220901493137088,5.952536332723142,15.402598069437785,-25.695583578895842,3.008700109833602,608.8572150135954,187.61778305082183,48.28380148555456
34,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,True,False,False,-226.6479369768345,4.711206912994385,DECISION,389,19.450000000000003,nan,77,3.9000000000000004,3.9000000000000004,28.224193325364144,6.599460356194995,12.690690213393333,-26.450422480255444,3.6332916237732977,594.9965513403964,223.8187029518179,65.1681843696155
35,left_no_timing_30k_det,ppo_env_left_no_timing,CarlaPPOEnvTouchPhase,results/ppo/left_no_timing_30k/ppo_left_no_timing_30k.zip,False,True,False,-221.10781516308538,14.756646156311035,CLEAR,321,16.05,nan,66,3.35,3.35,22.11945398813109,5.621667860004564,14.790958189961096,-59.655854934188824,3.3062900856464204,1200.2640255506901,164.64670284991743,56.47633302649224
