episode,step,reward,goal_distance,speed_kmh,lane_offset_m,target_speed_kmh,trajectory_points,progress_reward,comfort_penalty,traffic_penalty,path_overlap_penalty,early_lane_crash_penalty,headway_penalty,lane_penalty,idle_penalty,anchor_shape_penalty,action_delta_penalty,ttc_action_reward,forward_headway_m,forward_ttc_s,path_valid,justified_waiting,justified_wait_steps,success,crashed,timed_out,stuck
66,11,-0.16366684467629633,72.36957550048828,4.677967755912523,0.037527572363615036,28.71342770755291,56,0.0194549560546875,0.009418184052269069,0.0,0.0,0.0,0.0,0.0,0.08,0.08285736161470413,0.0008462550640106201,0.0,29.209688186645508,21.482217694825774,True,False,0,False,False,False,False
66,12,-0.07390423391994139,72.33898162841797,6.574091986230039,0.037852801382541656,28.361625149846077,56,0.0305938720703125,0.008527291404568147,0.0,0.0,0.0,0.0,0.0,0.0,0.08490106105804444,0.0010697535276412964,0.0,29.127140045166016,15.357624120485013,True,False,0,False,False,False,False
66,13,-0.0657685502206471,72.29981231689453,8.045889884922975,0.038242850452661514,28.130989372730255,56,0.0391693115234375,0.00787218354619408,0.0,0.0,0.0,0.0,0.0,0.0,0.08635086899995804,0.0007148091979324818,0.0,29.021326065063477,12.513738620884629,True,False,0,False,False,False,False
66,14,-1.0593495997368536,72.25394439697266,9.242640369238902,0.21358734369277954,27.970462515950203,56,0.045867919921875,0.007329186645447397,0.0,0.0,0.0,0.0,0.0,0.0,0.08738651484251024,0.0005018181707710027,-1.0,28.89601707458496,10.819615319206678,True,False,0,False,False,False,False
66,15,-1.0539971189992816,72.20254516601562,10.299922839643997,0.2135022133588791,27.844324931502342,56,0.05139923095703125,0.006802867223540133,0.0,0.0,0.0,0.0,0.0,0.0,0.0881990265250206,0.00039445620775222775,-1.0,28.753681182861328,9.64046059336768,True,False,0,False,False,False,False
66,16,-1.077367205499962,72.14611053466797,11.344307556021747,0.0934019461274147,27.622404992580414,56,0.05643463134765625,0.006356462473912855,0.0,0.027801358336941463,0.0,0.0,0.0,0.0,0.08900790351629256,0.0006361125204712153,-1.0,28.59467315673828,8.684778633090426,True,False,0,False,False,False,False
66,17,-1.1512436051886714,72.08515167236328,12.332013439662095,0.0419817678630352,27.29403454810381,56,0.0609588623046875,0.005994290397721251,0.0,0.10537141525222467,0.0,0.0,0.0,0.0,0.0899298437833786,0.0009069180600345134,-1.0,28.4193172454834,7.918951944084941,True,False,0,False,False,False,False
66,18,-1.2242122113286873,72.02010345458984,13.256177492198605,0.042096804827451706,27.104756087064743,56,0.0650482177734375,0.005589785619408799,0.0,0.18224958145095516,0.0,0.0,0.0,0.0,0.09072400754690171,0.0006970544848591089,-1.0,28.2291316986084,7.298579279988614,True,False,0,False,False,False,False
66,19,-1.2908175018288448,71.94938659667969,14.100426277773481,0.03770359605550766,26.94880273193121,56,0.07071685791015625,0.00674239225354231,0.0,0.252870213622586,0.0,0.0,0.0,0.0,0.09137498915195465,0.0005467647109180689,-1.0,28.031518936157227,6.838405067364036,True,False,0,False,False,False,False
66,20,-1.350161062890018,71.8759994506836,14.932357770610075,0.035091474652290344,26.86128828674555,56,0.07338714599609375,0.006881226726734564,0.0,0.31500381195022276,0.0,0.0,0.0,0.0,0.09119918090105057,0.000463989308103919,-1.0,27.81827163696289,6.402491499069792,True,False,0,False,False,False,False
