episode,step,reward,goal_distance,speed_kmh,lane_offset_m,target_speed_kmh,trajectory_points,progress_reward,comfort_penalty,traffic_penalty,path_overlap_penalty,lane_penalty,idle_penalty,action_delta_penalty,success,crashed,timed_out,stuck
39,11,-0.08251124686705619,72.37000274658203,4.528485206289592,0.03753618523478508,30.848041623830795,56,0.01908111572265625,0.010588638569737971,0.0,0.0,0.0,0.08,0.00100372401997447,False,False,False,False
39,12,0.009517731281879478,72.33963775634766,6.566650972553887,0.037906061857938766,30.568813607096672,56,0.030364990234375,0.009548392322894998,0.0,0.0,0.0,0.0,0.0012988666296005248,False,False,False,False
39,13,0.018646383032948174,72.30110168457031,7.9910275585961195,0.038402702659368515,30.389158576726913,56,0.03853607177734375,0.008911667718737925,0.0,0.0,0.0,0.0,0.0009780210256576537,False,False,False,False
39,14,-0.004564846900680401,72.25813293457031,9.17906995839257,0.21357305347919464,28.2600599527359,56,0.04296875,0.011840096203067637,0.0,0.0,0.0,0.0,0.025693500697612764,False,False,False,False
39,15,0.023246797275042363,72.20845794677734,10.28113290740797,0.21357674896717072,30.44291339814663,56,0.04967498779296875,0.01073435889532583,0.0,0.0,0.0,0.0,0.005693831622600555,False,False,False,False
39,16,0.0348673848286358,72.15319061279297,11.325955353703355,0.0968347117304802,30.378051549196243,56,0.055267333984375,0.009173216521731265,0.0,0.0,0.0,0.0,0.0012267326340079307,False,False,False,False
39,17,0.04120149020544815,72.09358978271484,12.328873193029414,0.046017494052648544,30.049173161387444,56,0.059600830078125,0.007371244210083004,0.0,0.0,0.0,0.0,0.0010280956625938415,False,False,False,False
39,18,0.045588008322965744,72.02603912353516,13.208535413895966,0.0451308973133564,29.956266805529594,55,0.0675506591796875,0.011414216599214433,0.0,0.0,0.0,0.0,0.0005484342575073242,False,False,False,False
39,19,0.04799913315129491,71.95584106445312,14.04890335804855,0.041609812527894974,30.272660851478577,55,0.07019805908203125,0.010576279859719557,0.0,0.0,0.0,0.0,0.0016226460710167885,False,False,False,False
39,20,0.05407297179109621,71.88382720947266,14.889812015198704,0.04086167737841606,29.67769056558609,55,0.07201385498046875,0.006239484377138139,0.0,0.0,0.0,0.0,0.0017013988122344015,False,False,False,False
39,21,0.04852040836522697,71.81231689453125,15.664173064670523,0.04668281972408295,29.586705341935158,56,0.07151031494140625,0.01238371215825559,0.0,0.0,0.0,0.0,0.0006061944179236888,False,False,False,False
39,22,0.05222503121568883,71.7386474609375,16.459698267254986,0.05656757205724716,28.260521292686462,56,0.07366943359375,0.008658028189101564,0.0,0.0,0.0,0.0,0.0027863741889595987,False,False,False,False
39,23,0.0629392175206814,71.6558837890625,17.22882174082813,0.061893194913864136,28.7062668800354,56,0.082763671875,0.008253086494478194,0.0,0.0,0.0,0.0,0.001571367859840393,False,False,False,False
39,24,0.043280895281663706,71.5709228515625,18.00679317699914,0.0688461884856224,29.095995873212814,56,0.0849609375,0.00925511896912573,0.0,0.020907183394457542,0.0,0.0,0.0015177398547530174,False,False,False,False
39,25,-0.004286035330294449,71.4856948852539,18.79127999969353,0.07920614629983902,28.507802188396454,56,0.08522796630859375,0.004948559210273856,0.0,0.07293192933561965,0.0,0.0,0.0016335130929946897,False,False,False,False
39,26,-0.04679144450292733,71.40020751953125,18.85244600800628,0.09030095487833023,28.511206582188606,56,0.08548736572265625,0.004415564206895053,0.0,0.11742121766569778,0.0,0.0,0.00044202835299074646,False,False,False,False
39,27,-0.08622899091731438,71.31536102294922,18.996999644946555,0.10160410404205322,28.517904728651047,56,0.08484649658203125,0.0040952698733371165,0.0,0.15679852555754348,0.0,0.0,0.00018169206846505403,False,False,False,False
39,28,-0.12680498618228592,71.22620391845703,19.298542834832045,0.10881178081035614,28.50074864923954,56,0.0891571044921875,0.008869354270394057,0.0,0.19690911363127395,0.0,0.0,0.00018362277280539274,False,False,False,False
39,29,-0.16922409119680668,71.13616180419922,19.748605768007646,0.11621680110692978,28.892240524291992,56,0.0900421142578125,0.007680429475134409,0.0,0.24023558686735794,0.0,0.0,0.0013501891121268273,False,False,False,False
