episode,scenario,reward,success,crashed,timed_out,stuck,steps,goal_distance,lane_offset_m,target_speed_kmh,failure_type,max_lane_offset,final_goal_distance,low_speed_ratio,high_traffic_ratio,notes
23,highway_merge,-91.53183951767822,False,True,False,False,229,20.135644912719727,0.07635911554098129,45.0,closing_speed_or_gap_failure,3.3064568042755127,20.135644912719727,0.2576419213973799,0.24017467248908297,max_lane_offset=3.306; final_goal_distance=20.136; low_speed_ratio=0.258; high_traffic_ratio=0.240
24,highway_merge,-115.3670262349814,False,True,False,False,187,49.64181137084961,1.226017951965332,45.0,lane_departure_early_collision,3.4406144618988037,49.64181137084961,0.43315508021390375,0.19786096256684493,max_lane_offset=3.441; final_goal_distance=49.642; low_speed_ratio=0.433; high_traffic_ratio=0.198
34,highway_merge,-100.01042340952364,False,True,False,False,194,49.021820068359375,1.2958159446716309,45.0,lane_departure_early_collision,3.477987766265869,49.021820068359375,0.422680412371134,0.15463917525773196,max_lane_offset=3.478; final_goal_distance=49.022; low_speed_ratio=0.423; high_traffic_ratio=0.155
35,highway_merge,-97.45771037716517,False,True,False,False,237,16.75861930847168,0.21608342230319977,45.0,closing_speed_or_gap_failure,3.377495765686035,16.75861930847168,0.25316455696202533,0.24050632911392406,max_lane_offset=3.377; final_goal_distance=16.759; low_speed_ratio=0.253; high_traffic_ratio=0.241
36,highway_merge,-93.36037126767093,False,True,False,False,191,51.17174530029297,1.0202877521514893,45.0,lane_departure_early_collision,3.3734092712402344,51.17174530029297,0.49214659685863876,0.1518324607329843,max_lane_offset=3.373; final_goal_distance=51.172; low_speed_ratio=0.492; high_traffic_ratio=0.152
42,highway_merge,-113.91673932459217,False,True,False,False,180,49.013431549072266,1.3252962827682495,45.0,lane_departure_early_collision,3.459117889404297,49.013431549072266,0.36666666666666664,0.2222222222222222,max_lane_offset=3.459; final_goal_distance=49.013; low_speed_ratio=0.367; high_traffic_ratio=0.222
45,highway_merge,-149.9153248983792,False,True,False,False,185,52.360931396484375,0.6590157747268677,35.1019486784935,lane_departure_early_collision,3.4076719284057617,52.360931396484375,0.4918918918918919,0.25405405405405407,max_lane_offset=3.408; final_goal_distance=52.361; low_speed_ratio=0.492; high_traffic_ratio=0.254
51,highway_merge,-77.31211188632192,False,True,False,False,249,16.88214874267578,0.14463619887828827,42.54856690764427,hesitation_then_collision,3.400247097015381,16.88214874267578,0.43775100401606426,0.14457831325301204,max_lane_offset=3.400; final_goal_distance=16.882; low_speed_ratio=0.438; high_traffic_ratio=0.145
52,highway_merge,-72.7739202471025,False,True,False,False,250,14.51264762878418,0.3215210437774658,45.0,mixed_collision,3.459024429321289,14.51264762878418,0.292,0.12,max_lane_offset=3.459; final_goal_distance=14.513; low_speed_ratio=0.292; high_traffic_ratio=0.120
60,highway_merge,-103.30915515317592,False,True,False,False,211,45.340877532958984,1.54817795753479,45.0,lane_departure_early_collision,3.4502832889556885,45.340877532958984,0.5592417061611374,0.15165876777251186,max_lane_offset=3.450; final_goal_distance=45.341; low_speed_ratio=0.559; high_traffic_ratio=0.152
